Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20054330,IFC,Jimmy P,,NR,02/14/14,,"$24,329","$2,283,001","$2,307,330",1,"$9,324",4,,,1:57,Drama,55,,Exclusive,NYC
20026919,WB,Winter's Tale,,PG13,02/14/14,VR,"$12,600,231","$18,524,977","$31,125,208",2965,"$8,007,059",4,1.60,1.40,1:58,Sci/Fant,13,B,Wide,
20071923,ZEI,Child's Pose,,NR,02/19/14,,,,,,,4,,,1:52,"Art/For, Drama",,,Limited,
20047964,REL,3 Days To Kill,,PG13,02/21/14,,"$30,697,999","$23,669,473","$54,367,472",2872,"$12,242,218",3,2.50,1.90,1:53,"Susp/Th, Act/Adv",31,B,Wide,
20053188,IFC,Almost Human,,NR,02/21/14,,"$8,447",,"$8,447",2,"$2,722",3,,,1:20,"Horror, Sci/Fant",44,,Exclusive,NYC
20054869,ROA,Barefoot,,PG13,02/21/14,,"$15,071","$116,707","$131,778",18,"$11,767",3,,,1:29,"Rom Com, Drama",11,,Limited,
20054329,IFC,Elaine Stritch: Shoot Me,,NR,02/21/14,,"$301,724",,"$301,724",2,"$27,853",3,,,1:21,Doc,98,,Exclusive,NYC
20048986,ROA,In Secret,,R,02/21/14,,"$444,179","$4,416,713","$4,860,892",266,"$265,586",3,,,1:41,"Drama, Susp/Th",47,,Limited,
20071259,ADF,Omar,,NR,02/21/14,,,,,,,3,,,1:38,"Art/For, Drama, Susp/Th",,,Limited,
20039024,SON,Pompeii,3D,PG13,02/21/14,TRI,"$23,219,748","$94,601,020","$117,820,768",2658,"$10,340,823",3,2.20,1.70,1:42,"Act/Adv, Period",25,B,Wide,
20071258,GKI,Ernest & Celestine,,PG,02/28/14,,"$262,075",,"$262,075",1,"$13,078",3,,,,"Anim, Art/For, Child/Fam",,,Exclusive,LA/NY
20051568,SCL,"Lunchbox, The",,PG,02/28/14,,"$4,235,151","$6,669,932","$10,905,083",3,"$44,542",3,,,1:44,"Drama, Art/For",95,,Exclusive,NYC & LA
20046184,UNI,Non-Stop - UNI,,PG13,02/28/14,,"$92,168,600","$140,487,400","$232,656,000",3090,"$28,875,635",3,3.20,2.50,1:46,"Act/Adv, Susp/Th",60,A-,Wide,
20052668,LIO,Repentance - LIO,,R,02/28/14,,"$1,189,612","$6,467","$1,196,079",152,"$501,290",3,,,1:30,"Drama, Susp/Th",,,Limited,
20053728,FOX,Son Of God,,PG13,02/28/14,,"$59,700,064","$9,674,524","$69,374,588",3260,"$25,601,865",3,2.30,1.90,2:18,Drama,22,A-,Wide,
20055568,SON,Stalingrad,3D IMAX,R,02/28/14,,"$1,013,945",,"$1,013,945",308,"$510,846",3,,,2:11,Drama,48,,Limited,
20054332,IFC,Two Lives,,NR,02/28/14,,"$2,437","$1,359,592","$1,362,029",1,"$1,303",3,,,1:39,"Drama, Art/For",90,,Exclusive,NYC
20033744,WB,300: Rise Of An Empire,3D IMAX,R,03/07/14,LGY,"$106,595,427","$230,931,472","$337,526,899",3470,"$45,038,460",3,2.40,1.80,1:43,"Act/Adv, Drama, War",42,B,Wide,
20051956,IFC,"Face Of Love, The",,PG13,03/07/14,,"$328,726","$873,016","$1,201,742",3,"$24,660",3,,,1:32,Rom Com,42,,Exclusive,
20052328,FXS,"Grand Budapest Hotel, The",,R,03/07/14,,"$59,325,623","$115,500,000","$174,825,623",4,"$811,166",3,,,1:40,"Comedy, Period",92,,Exclusive,
20053872,MAG,Grand Piano,,R,03/07/14,,"$22,555",,"$22,555",2,"$2,964",3,,,1:30,"Art/For, Susp/Th",81,,Limited,
20055788,MAG,Journey To The West: Conquering Demons,,PG13,03/07/14,,"$18,058",,"$18,058",7,"$7,456",3,,,1:50,"Comedy, Sci/Fant",91,,Limited,
20038004,FOX,Mr. Peabody And Sherman (Ani),3D,PG,03/07/14,DWA,"$111,506,430","$164,200,000","$275,706,430",3934,"$32,207,057",3,3.50,2.70,1:37,"Anim, Child/Fam",78,A,Wide,
20069830,VIE,Queen,,NR,03/07/14,,"$1,429,534",,"$1,429,534",40,"$162,068",3,,,2:25,Drama,,,Limited,
20054291,RAD,"Art Of The Steal, The - RAD",,R,03/14/14,,"$64,065",,"$64,065",60,"$39,670",3,,,1:35,Comedy,45,,Limited,
