Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
19943058,DIS,Fantasia 2000,,G,01/01/00,DSA,"$60,655,420","$30,200,000","$90,855,420",54,"$2,589,728",3,,,1:15,"Anim, Child/Fam",,,Limited,Imax Run
19985638,NY,Life Is To Whistle,,,01/07/00,,"$64,824",,"$64,824",1,"$7,846",3,,,,"Art/For, Drama",,,Exclusive,NYC
19985548,COW,"Life And Times Of Hank Greenberg, The",,,01/12/00,,"$1,717,848",,"$1,717,848",1,"$21,675",3,,,,"Doc, Bio",,,Exclusive,NYC
19980892,NL,Next Friday,,R,01/12/00,,"$57,328,603","$2,500,000","$59,828,603",1103,"$16,918,226",3,3.40,3.00,1:32,"Comedy, Urb/Eth",,B+,Wide,1100 Runs
19984263,7AR,Creature,,NR,01/14/00,,"$1,108","$25,078","$26,186",1,$609,4,,,1:04,Doc,,,Exclusive,LA
19978733,WB,My Dog Skip,,PG,01/14/00,ALC,"$34,134,641","$2,596,335","$36,730,976",5,"$56,941",4,,,1:33,"Drama, Child/Fam",,A,Exclusive,NYC & LA
19985125,FR,"Quarry, The",,NR,01/14/00,,"$3,604",,"$3,604",,,4,,,1:52,"Art/For, Susp/Th",,,Exclusive,NYC
19942444,MGM,Supernova - MGM,,PG13,01/14/00,,"$14,230,455","$598,000","$14,828,455",2280,"$6,731,940",4,2.10,1.90,1:30,"Sci/Fant, Act/Adv",,D,Wide,
19985524,PC,"Terrorist, The",,NR,01/14/00,,"$153,629",,"$153,629",1,"$13,734",4,,,1:35,"Art/For, Susp/Th",,,Exclusive,NYC
20071895,HBO,Americanos: Latino Life in the United States,,NR,01/21/00,,,,,,,3,,,,Doc,,,Exclusive,
19985716,IND,"Boondock Saints, The",,R,01/21/00,FRA,"$30,471","$27,310","$57,781",5,"$19,930",3,,,1:48,Susp/Th,,,Exclusive,NYC-LA-Boston
19980393,MIR,Down To You,,PG13,01/21/00,,"$20,069,008","$4,508,699","$24,577,707",1971,"$7,602,507",3,2.60,2.20,1:31,Rom Com,,B-,Wide,1885 Runs
19985720,WEL,Hellhounds On My Trail,,,01/21/00,,"$4,152",,"$4,152",1,"$2,400",3,,,,"Bio, Doc",,,Exclusive,NYC
19985295,USA,Rear Window - Reissue,,PG,01/21/00,,"$1,574,607","$125,000","$1,699,607",1,"$15,172",3,,,1:52,Susp/Th,,,Exclusive,NYC
19996118,SOC,Scottsboro: An American Tragedy,,,01/21/00,,,,,,,3,,,1:24,"Doc, Urb/Eth",,,Exclusive,Sundance
19985218,WEL,Wirey Spindell,,NR,01/21/00,,"$9,939",,"$9,939",1,"$3,468",3,,,1:34,Comedy,,,Exclusive,NYC
19985126,FR,Kestrel's Eye,,NR,01/26/00,,"$49,065",,"$49,065",1,"$8,034",3,,,1:26,"Doc, Art/For",,,Exclusive,NYC
19978130,WB,"Big Tease, The",,R,01/28/00,,"$187,152","$181,582","$368,734",4,"$29,010",3,,,1:26,"Art/For, Comedy",,,Exclusive,NYC-LA-SF
