Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20000617,ZEI,Travellers And Magicians,,NR,01/07/05,,"$506,793",,"$506,793",1,"$22,793",3,,,1:48,Drama,,,Exclusive,SF
19998409,UNI,White Noise - UNI,,PG13,01/07/05,,"$55,894,360","$34,809,660","$90,704,020",2261,"$24,113,565",3,2.30,1.90,1:49,Susp/Th,,C,Wide,
19998182,MIR,"Chorus, The",,PG13,01/14/05,,"$3,635,164","$95,405,713","$99,040,877",2,"$23,239",4,,,1:37,"Art/For, Drama, Period",,,Exclusive,NYC & LA
19996123,PAR,Coach Carter,,PG13,01/14/05,,"$67,264,877","$9,400,000","$76,664,877",2524,"$29,168,181",4,2.30,2.10,2:16,"Drama, Sports, Urb/Eth",64,A,Wide,
19998202,FOX,Elektra,,PG13,01/14/05,NR,"$24,409,722","$34,000,000","$58,409,722",3203,"$14,792,335",4,1.70,1.50,1:36,Act/Adv,,B,Wide,
19994432,WB,Racing Stripes,,PG,01/14/05,ALC,"$49,772,522","$44,079,126","$93,851,648",3185,"$18,862,432",4,2.60,2.50,1:41,"Child/Fam, Live Act",35,A,Wide,
19998366,FOC,Assault On Precinct 13,,R,01/19/05,,"$20,040,895","$17,600,000","$37,640,895",2233,"$6,502,724",4,3.10,2.20,1:49,"Susp/Th, Act/Adv",,B,Wide,
19997009,SON,Are We There Yet?,,PG,01/21/05,REV,"$82,674,398","$15,200,000","$97,874,398",2709,"$18,575,214",3,4.50,3.70,1:34,"Comedy, Child/Fam, Urb/Eth",,B+,Wide,
19999997,REG,Beautiful Boxer,,,01/21/05,,"$133,920",,"$133,920",2,"$8,713",3,,,1:48,"Art/For, Drama",,,Exclusive,
20002306,STR,Head On - 2005,,R,01/21/05,,"$435,395",,"$435,395",1,"$15,216",3,,,2:01,"Drama, Art/For",,,Not Set,
20001019,KI,Watermarks,,NR,01/21/05,,"$246,094",,"$246,094",1,"$4,837",3,,,1:20,Doc,,,Exclusive,NYC
19998847,DIS,Aliens Of The Deep,3D,G,01/28/05,DIS,"$8,968,684","$3,800,000","$12,768,684",27,"$479,368",3,,,0:47,Doc,,,Limited,
19995448,LIO,Alone In the Dark,,R,01/28/05,ART,"$5,178,569","$5,300,000","$10,478,569",2124,"$2,834,421",3,1.80,1.40,1:38,Horror,,F,Wide,
19999711,MGM,Fascination,,R,01/28/05,,"$16,670",,"$16,670",10,"$9,018",3,,,1:42,Susp/Th,,,Exclusive,7 Mkts
19996879,FOX,Hide And Seek,,R,01/28/05,,"$51,100,486","$71,500,000","$122,600,486",3005,"$21,959,233",3,2.30,1.90,1:40,"Drama, Susp/Th",,B-,Wide,
20001218,NMG,Daybreak,,R,02/02/05,,"$6,975","$1,740,728","$1,747,703",1,"$2,350",3,,,1:48,"Drama, Art/For",,,Exclusive,NYC
19994569,SON,Boogeyman,,PG13,02/04/05,SCG,"$46,752,382","$21,640,526","$68,392,908",3052,"$19,020,655",3,2.50,2.10,1:26,Horror,,C-,Wide,
20000051,IFC,Nobody Knows,,PG13,02/04/05,,"$684,118",,"$684,118",2,"$32,393",3,,,2:21,"Art/For, Drama",,,Exclusive,NYC
19999612,PLM,"Nomi Song, The",,,02/04/05,,"$74,631",,"$74,631",2,"$14,510",3,,,1:38,"Doc, Art/For",,,Exclusive,
20001178,FOC,Rory O'Shea Was Here,,R,02/04/05,,"$23,844",,"$23,844",2,"$6,079",3,,,1:44,Drama,,,Exclusive,NYC & LA
19991901,MGM,Swimming Upstream,,PG13,02/04/05,,"$51,930","$715,000","$766,930",17,"$24,520",3,,,1:37,"Drama, Bio, Sports",,,Limited,
20001097,UNI,"Wedding Date, The",,PG13,02/04/05,,"$31,626,995","$15,951,817","$47,578,812",1694,"$11,129,580",3,2.80,2.30,1:28,Rom Com,,B,Wide,
20004740,SHD,"Wild Parrots Of Telegraph Hill, The",,,02/09/05,,"$3,058,501",,"$3,058,501",5,"$36,731",3,,,,Doc,,,Exclusive,
19995216,MIR,Bride And Prejudice,,PG13,02/11/05,,"$6,605,592","$18,100,000","$24,705,592",32,"$385,848",3,,,1:51,"Rom Dram, Music",,,Limited,
19992331,SON,Hitch,,PG13,02/11/05,COL,"$177,784,257","$188,500,000","$366,284,257",3575,"$43,142,214",3,4.10,3.00,1:57,Rom Com,,A,Wide,
19995220,UNI,Inside Deep Throat,,NC17,02/11/05,,"$691,880","$91,113","$782,993",12,"$88,709",3,,,1:30,Doc,,,Limited,
19999610,MAG,Ong-Bak: Muay Thai Warrior,,R,02/11/05,,"$4,563,287",,"$4,563,287",387,"$1,334,869",3,,,1:45,"Art/For, Act/Adv",,,Limited,Top 20 Markets
19998572,DIS,Pooh's Heffalump Movie,,G,02/11/05,DIS,"$18,098,433","$35,196,711","$53,295,144",2529,"$5,805,559",3,3.10,2.50,1:03,"Anim, Child/Fam",80,A,Wide,
19995913,FOX,Because Of Winn-Dixie,,PG,02/18/05,,"$32,617,187","$942,000","$33,559,187",3188,"$13,218,723",4,2.50,2.10,1:49,"Child/Fam, Drama",,A,Wide,
20002546,MGM,Bigger Than The Sky,,PG13,02/18/05,,"$21,398",,"$21,398",9,"$14,697",4,,,1:46,Comedy,,,Limited,
19989446,WB,Constantine,,R,02/18/05,VR,"$75,976,178","$154,868,053","$230,844,231",3006,"$33,624,407",4,2.30,2.00,2:01,"Sci/Fant, Susp/Th",45,B,Wide,
20002466,NMG,Downfall: Hitler And The End...,,NR,02/18/05,,"$5,509,040",,"$5,509,040",1,"$18,195",4,,,2:35,Drama,,,Exclusive,NYC
19997374,PCL,Schultze Gets The Blues,,PG,02/18/05,,"$594,519","$3,400,000","$3,994,519",4,"$17,722",4,,,1:54,Comedy,,,Exclusive,
19995197,NL,Son Of The Mask,,PG,02/18/05,,"$17,018,422","$40,500,000","$57,518,422",2966,"$9,006,066",4,1.90,1.70,1:35,"Sci/Fant, Comedy",,B-,Wide,
20002506,IFC,Turtles Can Fly,,PG13,02/18/05,,"$258,578",,"$258,578",4,"$23,326",4,,,1:38,Drama,,,Limited,
19993791,MIR,Cursed,,PG13,02/25/05,DIM,"$19,297,522","$10,300,000","$29,597,522",2805,"$9,633,085",3,2.00,1.70,1:26,Horror,,C-,Wide,
20000012,LIO,Diary Of A Mad Black Woman,,PG13,02/25/05,,"$50,406,346","$277,115","$50,683,461",1483,"$21,905,089",3,2.30,1.90,1:56,"Comedy, Urb/Eth",16,A+,Wide,
19996887,SON,Man Of The House-Son,,PG13,02/25/05,REV,"$19,699,706","$1,900,000","$21,599,706",2422,"$8,917,251",3,2.20,1.90,1:37,"Comedy, Act/Adv",,B-,Wide,
19999611,STR,"Other Side Of The Street, The",,NR,02/25/05,,"$55,459",,"$55,459",1,"$4,316",3,,,1:37,"Art/For, Drama",,,Exclusive,
20001021,SCL,Up And Down,,R,02/25/05,,"$245,127","$2,500,000","$2,745,127",6,"$25,144",3,,,1:47,"Drama, Art/For",,,Exclusive,NYC & LA
19996453,MIR,"Best Of Youth, The",,R,03/02/05,,"$274,024","$3,612,239","$3,886,263",1,"$7,490",3,,,6:03,"Art/For, Drama",,,Exclusive,NYC & LA
19996760,MGM,Be Cool,,PG13,03/04/05,,"$55,849,401","$40,000,000","$95,849,401",3216,"$23,450,212",3,2.40,2.00,2:00,Comedy,,B-,Wide,
19997415,MIR,Dear Frankie,,PG13,03/04/05,,"$1,341,332","$1,600,000","$2,941,332",5,"$37,542",3,,,1:45,"Drama, Art/For",,,Exclusive,NYC & LA
20001196,PLM,Gunner Palace,,PG13,03/04/05,,"$607,844",,"$607,844",8,"$63,520",3,,,1:26,Doc,,,Exclusive,NYC-LA-SF-DC
19997619,WIP,"Jacket, The",,R,03/04/05,,"$6,303,762","$14,958,207","$21,261,969",1331,"$2,723,682",3,2.30,1.70,1:42,Susp/Th,44,,Wide,
19997740,DIS,"Pacifier, The",,PG,03/04/05,DIS,"$113,086,868","$85,812,431","$198,899,299",3131,"$30,552,694",3,3.70,3.10,1:35,"Act/Adv, Child/Fam, Comedy",,A-,Wide,
20000130,IDP,Walk On Water,,,03/04/05,,"$2,713,932",,"$2,713,932",10,"$60,465",3,,,,"Art/For, Drama",,,Exclusive,
20000616,IDP,"Boys And Girl From County Clare, The",,R,03/11/05,,"$142,872",,"$142,872",7,"$20,856",3,,,1:30,Comedy,,,Exclusive,NYC-Boston-Chicago
19998772,MIR,Hostage,,R,03/11/05,,"$34,639,939","$43,300,000","$77,939,939",2123,"$10,214,734",3,3.40,2.60,1:53,Susp/Th,,B+,Wide,
