Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
19940838,KI,Diabolique-Reissue,,NR,01/06/95,,"$84,084",,"$84,084",3,"$15,084",3,,,1:47,"Susp/Th, Art/For",,,Exclusive,
19700069,DIS,Houseguest,,PG,01/06/95,HOL,"$26,325,256","$32,006","$26,357,262",1238,"$5,831,302",3,4.50,3.70,1:49,Comedy,,B+,Wide,
19700453,SON,Higher Learning,,R,01/11/95,,"$38,289,768",,"$38,289,768",1326,"$13,276,662",3,2.90,2.60,2:07,"Drama, Urb/Eth",,,Wide,
19700310,FOX,Far From Home-The Adventures Of Yellow Dog,,PG,01/13/95,,"$10,523,169","$3,174,690","$13,697,859",1217,"$4,231,917",4,2.50,2.30,1:20,"Child/Fam, Act/Adv",,A-,Wide,
19940278,UNI,Tales From The Crypt-Demon Knight,,R,01/13/95,,"$21,112,010",,"$21,112,010",1729,"$10,019,555",4,2.10,1.90,1:32,Horror,,,Wide,
19700281,DIS,Bad Company-BV 95,,R,01/20/95,TOU,"$3,674,841","$48,007","$3,722,848",302,"$1,459,824",3,,,1:48,"Susp/Th, Drama",,C,Limited,
19700343,WB,Murder In The First,,R,01/20/95,,"$17,381,942",,"$17,381,942",1237,"$4,719,188",3,3.70,2.80,2:00,"Drama, Susp/Th",,A-,Wide,
19700443,USA,S.F.W.,,R,01/20/95,GRM,"$63,513",,"$63,513",44,"$44,227",3,,,1:32,"Drama, Dark Com",,,Limited,
19940117,MIR,Strawberry And Chocolate,,R,01/20/95,,"$2,109,343",,"$2,109,343",1,"$17,008",3,,,1:51,"Comedy, Art/For",,,Exclusive,NYC
19940307,SON,Before Sunrise,,R,01/27/95,CR,"$5,535,619","$12,103,337","$17,638,956",363,"$1,423,537",3,,,1:41,"Rom Dram, Comedy",,B,Limited,
19700533,MIR,Highlander III: The Sorcerer,,PG13,01/27/95,,"$14,035,262","$6,461,066","$20,496,328",1593,"$5,636,435",3,2.50,2.00,1:39,"Act/Adv, Art/For, Sci/Fant",,,Wide,
19940443,DIS,Miami Rhapsody,,PG13,01/27/95,HOL,"$5,221,281","$3,995,672","$9,216,953",2,"$71,421",3,,,1:35,Rom Com,,B+,Exclusive,NYC & LA
19700213,WB,Boys On The Side,,R,02/03/95,NR,"$23,440,188","$25,595,200","$49,035,388",1322,"$4,808,873",3,4.90,3.70,1:57,"Drama, Comedy",,A-,Wide,
19700124,NL,In The Mouth Of Madness,,R,02/03/95,,"$8,962,271","$1,273,060","$10,235,331",1510,"$3,441,807",3,2.60,2.10,1:34,"Susp/Th, Horror",,,Wide,
19700622,DIS,Jerky Boys,,R,02/03/95,TOU,"$7,557,877",,"$7,557,877",1513,"$4,392,403",3,1.70,1.40,1:21,Comedy,,,Wide,
19940171,SCL,Martha And Ethel,,G,02/03/95,,"$91,874",,"$91,874",2,"$7,622",3,,,1:18,"Art/For, Doc",,,Exclusive,NYC
19940552,FIR,"Secret Of Roan Inish, The",,PG,02/03/95,,"$6,159,269",,"$6,159,269",7,"$82,601",3,,,1:44,"Period, Child/Fam, Drama",,,Exclusive,NYC & LA
19940119,UNI,Billy Madison,,PG13,02/10/95,,"$24,319,745","$45,214","$24,364,959",1834,"$6,639,080",3,3.70,3.00,1:28,Comedy,,B,Wide,
19700283,SON,"Quick And The Dead, The",,R,02/10/95,TRI,"$18,636,537","$28,000,000","$46,636,537",2158,"$6,515,861",3,2.90,2.20,1:43,"Western, Act/Adv, Drama",,C+,Wide,
19940217,USA,Shallow Grave,,R,02/10/95,GRM,"$2,210,569","$2,496,930","$4,707,499",6,"$105,614",3,,,1:31,"Art/For, Susp/Th",,,Exclusive,NYC & LA
19940304,MIR,Through The Olive Trees,,G,02/10/95,,"$40,219",,"$40,219",1,"$4,483",3,,,1:43,"Art/For, Drama",,,Exclusive,LA
