Mcode,Dist,Picture,Format,Rtg,Rel Date,Prod Co,Domestic   Gross,International   Gross,Worldwide   Gross,Dom   Locs,Opng Wknd   Gross,Wknd   Days,Wknd   Multi,Wk   Multi,Run-  time,Genre,TM,CS,Pattern,Desc
20020439,FOX,Bride Wars,,PG,01/09/09,NR,"$58,715,510","$55,947,951","$114,663,461",3226,"$21,058,173",3,2.80,2.30,1:28,Comedy,12,A-,Wide,
20021247,KLF,Just Another Love Story,,,01/09/09,,"$45,835",,"$45,835",1,,3,,,1:30,"Rom Dram, Art/For, Susp/Th",,,Exclusive,
20016671,SON,Not Easily Broken,,PG13,01/09/09,TRI,"$10,572,742","$48,505","$10,621,247",724,"$5,314,278",3,2.00,1.70,1:40,"Drama, Urb/Eth",38,,Wide,800 Runs
20020000,UNI,"Unborn, The - UNI",,PG13,01/09/09,ROG,"$42,980,923","$33,830,043","$76,810,966",2357,"$19,810,585",3,2.20,1.80,1:27,"Susp/Th, Horror",12,B-,Wide,
20024468,MAG,Yonkers Joe,,R,01/09/09,,"$8,286",,"$8,286",2,"$2,073",3,,,1:42,Drama,,,Exclusive,
20026251,FR,Ballerina - FR,,,01/16/09,,"$113,222",,"$113,222",,,4,,,1:17,"Doc, Art/For",,,Exclusive,
20025291,WB,Chandni Chowk To China,,PG13,01/16/09,,"$921,738","$13,568,523","$14,490,261",130,"$685,798",4,,,2:34,"Art/For, Act/Adv, Comedy",47,,Limited,
20022726,STR,Cherry Blossoms: Hanami,,NR,01/16/09,,"$104,433",,"$104,433",1,"$4,178",4,,,2:07,"Art/For, Rom Dram",,,Exclusive,
20018698,PAR,Hotel For Dogs,,PG,01/16/09,DW,"$73,178,547","$44,302,365","$117,480,912",3271,"$22,865,512",4,3.20,3.00,1:40,"Child/Fam, Comedy",43,A-,Wide,
20020701,LIO,My Bloody Valentine 3D,3D,R,01/16/09,,"$51,545,952","$55,420,424","$106,966,376",2534,"$24,103,962",4,2.10,1.90,1:41,Horror,59,C+,Wide,
20019818,FXS,Notorious,,R,01/16/09,,"$36,843,682","$7,500,000","$44,343,682",1638,"$23,393,472",4,1.60,1.40,2:03,"Bio, Drama, Urb/Eth",53,,Wide,
20019537,SON,Paul Blart: Mall Cop,,PG,01/16/09,COL,"$146,458,911","$37,012,790","$183,471,701",3144,"$39,234,238",4,3.70,3.40,1:31,"Comedy, Child/Fam",28,B,Wide,2500+
20024308,STR,Of Time And The City,,NR,01/21/09,,"$32,677",,"$32,677",1,"$5,595",4,,,1:12,"Doc, Art/For",,,Exclusive,
20025851,WB,"Dark Knight, The - Academy Run",,,01/23/09,LGY,"$2,305,946",,"$2,305,946",350,"$667,397",3,,,,"Act/Adv, Sci/Fant",94,,Limited,Academy Run
20025690,IFC,Dog Eat Dog,,NR,01/23/09,,$80,"$131,346","$131,426",1,$80,3,,,1:42,"Art/For, Dark Com, Susp/Th",,,Exclusive,
20025450,MAG,Donkey Punch,,R,01/23/09,MAG,"$19,367",,"$19,367",2,,3,,,1:35,"Horror, Art/For, Susp/Th",,,Exclusive,NY/LA
20012599,WB,Inkheart (NL),,PG,01/23/09,NL,"$17,303,424","$45,146,937","$62,450,361",2655,"$7,601,379",3,2.30,1.90,1:46,"Sci/Fant, Act/Adv, Child/Fam",36,B+,Wide,
20004842,WEI,Killshot,,R,01/23/09,,"$18,643","$2,470,296","$2,488,939",5,"$10,741",3,,,1:36,Act/Adv,,,Limited,
20020581,GOL,"Lodger, The",,R,01/23/09,,,"$47,267","$47,267",,,3,,,1:36,Susp/Th,,,Exclusive,
20005261,WEI,Outlander,,R,01/23/09,TRR,"$166,003","$6,800,000","$6,966,003",81,"$59,581",3,,,1:55,"Act/Adv, Period, Sci/Fant",,,Limited,
20019677,SON,Underworld 3: The Rise Of The Lycans,,R,01/23/09,SCG,"$45,802,315","$45,600,000","$91,402,315",2942,"$20,828,511",3,2.20,1.80,1:33,"Act/Adv, Horror, Sci/Fant",44,B+,Wide,3000+
20023303,SCL,"Class, The",,PG13,01/30/09,,"$3,766,810","$24,574,038","$28,340,848",25,"$155,190",3,,,2:09,"Drama, Art/For",95,,Exclusive,Academy Run in Dec.; Canada Rel. on 01/16/09
20025691,IFC,Medicine For Melancholy,,NR,01/30/09,,"$111,551",,"$111,551",1,"$12,625",3,,,1:28,"Drama, Rom Com, Urb/Eth",88,,Exclusive,
20023725,LIO,New In Town,,PG,01/30/09,,"$16,734,283","$12,300,000","$29,034,283",1941,"$6,741,530",3,2.50,1.90,1:36,Rom Com,19,B+,Wide,
20014820,FOX,Taken,,PG13,01/30/09,,"$145,000,989","$82,818,189","$227,819,178",3183,"$24,717,037",3,5.90,4.40,1:31,"Act/Adv, Susp/Th",58,A-,Wide,
20022222,PAR,"Uninvited, The",,PG13,01/30/09,DW,"$28,596,818","$13,210,270","$41,807,088",2344,"$10,325,824",3,2.80,2.40,1:27,"Horror, Susp/Th",36,B,Wide,
20071868,IP,El General,,,Jan/2009,,,,,,,3,,,1:23,Doc,,,Exclusive,
20026372,IFC,"Objective, The",,NR,02/04/09,,$95,,$95,1,$95,3,,,1:31,"Horror, Sci/Fant, War",,,Exclusive,NYC
